location,size,total_sqft,price,category,bhk,price_per_sqft
5th Block Hbr Layout,6 Bedroom,1200,25000000,Urban,6,20833.33333
Jigani,2 BHK,924,6500000,Rural,2,7034.632035
Suraksha Nagar,3 BHK,1600,5200000,Urban,3,3250
Pai Layout,2 BHK,1006,3500000,Urban,2,3479.125249
Amruthahalli,2 BHK,1200,5500000,Urban,2,4583.333333
Jalahalli West,2 BHK,1250,6200000,Urban,2,4960
Defence Layout,3 Bedroom,1200,13000000,Urban,3,10833.33333
Kannamangala,2 BHK,957,5600000,Urban,2,5851.619645
Whitefield,2 BHK,1140,4100000,Urban,2,3596.491228
Roopena Agrahara,2 BHK,1050,6700000,Urban,2,6380.952381
Kasturi Nagar,3 BHK,1565,8850000,Urban,3,5654.952077
Whitefield,2 BHK,1190,5700000,Urban,2,4789.915966
Whitefield,3 Bedroom,2842,16200000,Urban,3,5700.211119
Kanakpura Road,3 BHK,1558.67,6500000,Urban,3,4170.222048
Electronics City Phase 1,1 BHK,630,3900000,Urban,1,6190.47619
Whitefield,3 BHK,1403,6081000,Urban,3,4334.283678
Kanakpura Road,3 BHK,1542,8500000,Urban,3,5512.32166
Haralur Road,4 Bedroom,2750,22000000,Urban,4,8000
Iblur Village,4 BHK,3596,29000000,Urban,4,8064.516129
Kengeri Satellite Town,3 BHK,1635,7800000,Urban,3,4770.642202
Mysore Road,2 BHK,1239,5300000,Urban,2,4277.643261
Haralur Road,2 BHK,1194,4700000,Urban,2,3936.348409
Dooravani Nagar,3 BHK,1596,10500000,Urban,3,6578.947368
Channasandra,2 BHK,1009,3834000,Urban,2,3799.801784
Hosa Road,3 BHK,1726,8199000,Urban,3,4750.289687
Kudlu Gate,3 BHK,1535,8600000,Urban,3,5602.605863
Banashankari Stage V,3 BHK,1300,5850000,Urban,3,4500
Whitefield,4 Bedroom,3100,46500000,Urban,4,15000
Coconut Garden,3 BHK,1800,8000000,Urban,3,4444.444444
Binny Pete,1 BHK,665,5075000,Urban,1,7631.578947
Chamrajpet,9 Bedroom,4050,120000000,Urban,9,29629.62963
TC Palaya,3 Bedroom,1500,10000000,Urban,3,6666.666667
Kalkere,2 BHK,925,4800000,Urban,2,5189.189189
Old Airport Road,4 BHK,3356,25100000,Urban,4,7479.141836
Gollahalli,2 BHK,1395,6359000,Rural,2,4558.422939
Sonnenahalli,3 BHK,1415,5500000,Rural,3,3886.925795
Begur,3 BHK,1419,5900000,Urban,3,4157.857646
Kasavanhalli,2 BHK,1121,7800000,Urban,2,6958.073149
Kambipura,3 BHK,1082,4500000,Urban,3,4158.96488
KR Puram,2 BHK,1100,4700000,Urban,2,4272.727273
Hoodi,3 BHK,1606,8955000,Urban,3,5575.965131
Billekahalli,3 BHK,1650,8800000,Urban,3,5333.333333
D Souza Layout,3 BHK,4634,101500000,Urban,3,21903.32326
Old Airport Road,2 BHK,1206,7500000,Urban,2,6218.905473
Sarjapur  Road,3 BHK,1495,6400000,Urban,3,4280.936455
Malleshwaram,8 Bedroom,840,19500000,Urban,8,23214.28571
Electronic City,2 BHK,710,1600000,Urban,2,2253.521127
Balagere,2 BHK,1210,7200000,Urban,2,5950.413223
Nagarbhavi,3 BHK,1523,5340000,Urban,3,3506.237689
Whitefield,2 BHK,1232,4500000,Urban,2,3652.597403
Rachenahalli,1 BHK,680,4400000,Urban,1,6470.588235
Hebbal,3 BHK,1355,8387000,Urban,3,6189.667897
Thanisandra,3 BHK,1430,5146000,Urban,3,3598.601399
Kothannur,3 BHK,1275,4385000,Urban,3,3439.215686
Electronic City,2 BHK,1070,5610000,Urban,2,5242.990654
Bettahalsoor,3 Bedroom,1200,8500000,Rural,3,7083.333333
Electronic City,4 Bedroom,2000,12000000,Urban,4,6000
Bommanahalli,2 BHK,1200,4000000,Urban,2,3333.333333
Marathahalli,3 BHK,1610,9000000,Urban,3,5590.062112
Haralur Road,2 BHK,1140,4300000,Urban,2,3771.929825
Raja Rajeshwari Nagar,2 BHK,1143,3865000,Urban,2,3381.452318
Jakkur,4 BHK,3467.86,24900000,Urban,4,7180.220655
Rachenahalli,3 BHK,1530,7440000,Urban,3,4862.745098
7th Phase JP Nagar,2 BHK,980,6900000,Urban,2,7040.816327
Whitefield,3 BHK,1485,6500000,Urban,3,4377.104377
Whitefield,3 Bedroom,1500,13000000,Urban,3,8666.666667
Whitefield,2 BHK,1280,7500000,Urban,2,5859.375
Thanisandra,2 BHK,1265,8500000,Urban,2,6719.367589
"ECC Road, Whitefield, ",2 BHK,1132,6700000,Urban,2,5918.727915
Ashwath Nagar,2 BHK,1262,6300000,Urban,2,4992.07607
JP Nagar,2 BHK,940,4900000,Urban,2,5212.765957
Seetharampalya,3 BHK,1515,8800000,Urban,3,5808.580858
Jigani,3 BHK,1300,15000000,Rural,3,11538.46154
Kothanur,3 Bedroom,1840,6900000,Urban,3,3750
Electronic City,2 BHK,890,4500000,Urban,2,5056.179775
Rukmaiah Layout,3 BHK,1655,8606000,Urban,3,5200
Hennur Road,3 BHK,2060,14900000,Urban,3,7233.009709
Bommanahalli,3 BHK,1730,9600000,Urban,3,5549.132948
Yelahanka,3 BHK,2195,12700000,Urban,3,5785.876993
Kathriguppe,3 BHK,1650,12500000,Urban,3,7575.757576
KR Puram,2 Bedroom,1200,7100000,Urban,2,5916.666667
Hosa Road,2 BHK,1079,3237000,Urban,2,3000
Panathur,2 BHK,1085,3600000,Urban,2,3317.97235
Maruthi Sevanagar,7 Bedroom,5000,29900000,Urban,7,5980
Yelahanka,2 BHK,1075,5150000,Urban,2,4790.697674
Devanahalli Int. Airport,2 BHK,1380,8000000,Urban,2,5797.101449
Puttanahalli,3 BHK,1450,6500000,Urban,3,4482.758621
Thubarahalli,2 BHK,1200,7800000,Urban,2,6500
Benson Town,3 BHK,3200,35000000,Urban,3,10937.5
Hoodi,3 BHK,1639,9832000,Urban,3,5998.779744
Jakkuru Layout,2 BHK,1200,5400000,Urban,2,4500
Vijayanagar,3 BHK,1739,11600000,Urban,3,6670.500288
Palanahalli,4 Bedroom,4346,50000000,Rural,4,11504.83203
Old Madras Road,2 BHK,935,3272000,Urban,2,3499.465241
 Thanisandra,1 RK,510,2525000,Urban,1,4950.980392
Devasandra Extension,6 Bedroom,1200,18000000,Urban,6,15000
Nagondanahalli,2 BHK,1178,4700000,Urban,2,3989.813243
Chikkalasandra,3 BHK,1375,5000000,Urban,3,3636.363636
Chandapura,3 BHK,1065,3300000,Rural,3,3098.591549
2nd Phase Judicial Layout,3 BHK,1450,5075000,Urban,3,3500
BEML Layout,2 BHK,999,4500000,Urban,2,4504.504505
Amruthahalli,2 BHK,4400,47500000,Urban,2,10795.45455
Marathahalli,5 Bedroom,1350,13500000,Urban,5,10000
Kothannur,2 BHK,1100,4000000,Urban,2,3636.363636
Koramangala,3 BHK,1835,15500000,Urban,3,8446.866485
Hoodi,4 BHK,2090,9510000,Urban,4,4550.239234
Lingadheeranahalli,3 BHK,1519,9300000,Urban,3,6122.44898
Dommasandra,3 BHK,1267,5600000,Urban,3,4419.889503
Sanjay nagar,2 BHK,1150,7220000,Urban,2,6278.26087
Marathahalli,2 BHK,1146,7000000,Urban,2,6108.202443
1st Block HRBR Layout,8 Bedroom,1200,23500000,Urban,8,19583.33333
Kannamangala,3 BHK,1550,6500000,Urban,3,4193.548387
Chandapura,2 BHK,850,1850000,Rural,2,2176.470588
Richmond Town,3 BHK,2200,18700000,Urban,3,8500
"Sarjapur Road, ",3 Bedroom,3329,33000000,Urban,3,9912.886753
Electronics City Phase 1,1 BHK,785,5500000,Urban,1,7006.369427
Hebbal Kempapura,3 BHK,2900,30000000,Urban,3,10344.82759
Raja Rajeshwari Nagar,3 BHK,1610,7400000,Urban,3,4596.273292
Bellandur,2 BHK,921,4000000,Urban,2,4343.10532
Kengeri Satellite Town,3 Bedroom,850,9500000,Urban,3,11176.47059
Bannerghatta Road,5 Bedroom,2700,15800000,Urban,5,5851.851852
Sarjapur  Road,3 BHK,1700,11000000,Urban,3,6470.588235
Sarjapur,2 BHK,1020,3500000,Urban,2,3431.372549
Billekahalli,2 BHK,1090,5200000,Urban,2,4770.642202
Bagalur Main Road,4 Bedroom,3600,30000000,Urban,4,8333.333333
Haralur Road,2 BHK,1027,4400000,Urban,2,4284.323272
Thanisandra,2 BHK,1185,4210000,Urban,2,3552.742616
Doddathoguru,2 BHK,850,2500000,Urban,2,2941.176471
Harlur,2 BHK,1197,8400000,Urban,2,7017.54386
Byadarahalli,4 BHK,3500,45000000,Urban,4,12857.14286
Poorna Pragna Layout,2 BHK,920,3955000,Urban,2,4298.913043
Raja Rajeshwari Nagar,2 BHK,1105,6500000,Urban,2,5882.352941
Yeshwanthpur,3 BHK,1850,10000000,Urban,3,5405.405405
Judicial Layout,3 BHK,1300,6400000,Urban,3,4923.076923
"Varthur Road, ",3 BHK,1595,7600000,Urban,3,4764.890282
Kodihalli,4 BHK,3073,69600000,Urban,4,22648.87732
Horamavu Agara,2 BHK,755,3749000,Urban,2,4965.562914
Nagasandra,5 Bedroom,4050,14000000,Urban,5,3456.790123
Kanakpura Road,3 BHK,1300,6900000,Urban,3,5307.692308
Bannerghatta Road,2 BHK,1215,5000000,Urban,2,4115.226337
Kanakpura Road,2 BHK,900,4600000,Urban,2,5111.111111
Banashankari Stage III,2 BHK,1145,5840000,Urban,2,5100.436681
Chikka Banaswadi,2 BHK,1093,6500000,Urban,2,5946.935041
Babusapalaya,3 BHK,1213,4139000,Urban,3,3412.201154
Bannerghatta Road,3 BHK,1654,10000000,Urban,3,6045.949214
NGR Layout,2 BHK,1105,5248000,Urban,2,4749.321267
Babusapalaya,3 BHK,1611,6600000,Urban,3,4096.834264
Outer Ring Road East,2 BHK,1367,6200000,Urban,2,4535.479151
Devanahalli,2 BHK,1010,5100000,Rural,2,5049.50495
Kavika Layout,3 Bedroom,750,7500000,Urban,3,10000
Vinayaka Nagar,3 BHK,1535,9500000,Urban,3,6188.925081
Anekal,2 BHK,620,2200000,Rural,2,3548.387097
Horamavu Agara,2 BHK,982,4765000,Urban,2,4852.342159
Banashankari Stage II,2 BHK,1700,15000000,Urban,2,8823.529412
Whitefield,2 BHK,1330,7100000,Urban,2,5338.345865
JP Nagar,3 Bedroom,2500,13500000,Urban,3,5400
Poorna Pragna Layout,3 BHK,1475,5899000,Urban,3,3999.322034
Bhoganhalli,3 BHK,1410,6500000,Urban,3,4609.929078
Yelahanka New Town,1 BHK,440,1650000,Urban,1,3750
Yelahanka,3 BHK,1614,9500000,Urban,3,5885.997522
Neeladri Nagar,2 BHK,1363,6800000,Urban,2,4988.994864
Kogilu,2 Bedroom,650,2800000,Urban,2,4307.692308
Dodda Kempaiah Layout,2 BHK,1015,4500000,Urban,2,4433.497537
Horamavu Banaswadi,2 BHK,1156,4600000,Urban,2,3979.238754
Hennur Busstop,2 BHK,1100,6270000,Urban,2,5700
KR Puram,3 BHK,1455,4600000,Urban,3,3161.512027
GB Palya,2 BHK,930,4500000,Urban,2,4838.709677
AMS Layout,3 BHK,1650,8000000,Urban,3,4848.484848
KR Puram,2 Bedroom,1200,9000000,Urban,2,7500
9th Block Jayanagar,1 Bedroom,700,15000000,Urban,1,21428.57143
Karuna Nagar,4 BHK,2900,13500000,Urban,4,4655.172414
Kadugodi,3 BHK,1890,12700000,Urban,3,6719.57672
Ashwathnagar,3 BHK,2197,28000000,Urban,3,12744.6518
Hebbal Kempapura,3 BHK,3522,38000000,Urban,3,10789.32425
Gaurava Nagar,3 BHK,1240,4600000,Urban,3,3709.677419
HRBR Layout,2 BHK,1440,9800000,Urban,2,6805.555556
Kodichikkanahalli,1 BHK,650,3800000,Urban,1,5846.153846
Budigere,1 BHK,764,3200000,Urban,1,4188.481675
Sector 7 HSR Layout,5 Bedroom,900,9000000,Urban,5,10000
Raja Rajeshwari Nagar,3 BHK,1693,5739000,Urban,3,3389.84052
Hoodi,3 BHK,1445,6500000,Urban,3,4498.269896
Kanakpura Road,2 BHK,900,4500000,Urban,2,5000
Singasandra,2 BHK,1030,5500000,Urban,2,5339.805825
Yelahanka,3 BHK,1381,5248000,Urban,3,3800.144823
Basapura,2 BHK,1100,6000000,Urban,2,5454.545455
Hoodi,3 BHK,1575,6639000,Urban,3,4215.238095
Thigalarapalya,2 Bedroom,1200,6500000,Urban,2,5416.666667
Begur Road,2 BHK,1200,4320000,Urban,2,3600
Kasturi Nagar,2 BHK,1080,8000000,Urban,2,7407.407407
Hebbal Kempapura,5 Bedroom,2280,20000000,Urban,5,8771.929825
Akshaya Nagar,3 BHK,1360,8500000,Urban,3,6250
Jakkur,3 BHK,1865,12400000,Urban,3,6648.793566
Sarjapur  Road,3 BHK,1157,7500000,Urban,3,6482.281763
Kammasandra,2 BHK,674,2900000,Urban,2,4302.670623
Whitefield,3 BHK,1405,7800000,Urban,3,5551.601423
Begur Road,2 BHK,1160,4408000,Urban,2,3800
Kengeri Satellite Town ( BDA SITE),4 Bedroom,1600,17200000,Urban,4,10750
Hebbal,3 BHK,1790,12700000,Urban,3,7094.972067
Electronic City,2 BHK,1128,6565000,Urban,2,5820.035461
Panathur,2 BHK,1180,7000000,Urban,2,5932.20339
AGS Layout,3 BHK,1450,8500000,Urban,3,5862.068966
Kengeri,1 BHK,340,1000000,Urban,1,2941.176471
Srinagar,4 Bedroom,2000,16600000,Urban,4,8300
Rachenahalli,2 BHK,1050,5350000,Urban,2,5095.238095
Varthur,2 BHK,1125,4000000,Urban,2,3555.555556
Vittasandra,2 BHK,1246,6800000,Urban,2,5457.463884
HSR Layout,2 BHK,1372,6100000,Urban,2,4446.06414
Uttarahalli,3 BHK,1330,5600000,Urban,3,4210.526316
Binny Pete,3 BHK,2465,23400000,Urban,3,9492.900609
Dasarahalli,2 BHK,1300,5500000,Urban,2,4230.769231
Brigade Road,2 Bedroom,1420,22000000,Urban,2,15492.95775
Bannerghatta,4 Bedroom,810,5000000,Urban,4,6172.839506
Channasandra,2 BHK,1065,3500000,Urban,2,3286.384977
Hessarghatta,2 BHK,700,2700000,Rural,2,3857.142857
Hebbal,2 BHK,687.325,4272000,Urban,2,6215.400284
Belathur,2 BHK,1050,4500000,Urban,2,4285.714286
Maruthi HBCS Layout,3 BHK,1250,3950000,Urban,3,3160
Electronic City,2 BHK,865,4200000,Urban,2,4855.491329
Uttarahalli,2 BHK,1200,4400000,Urban,2,3666.666667
Srirampura,3 BHK,1756,10000000,Urban,3,5694.76082
Malleshwaram,9 Bedroom,750,15000000,Urban,9,20000
Yelahanka,1 BHK,628,2400000,Urban,1,3821.656051
9th Phase JP Nagar,7 Bedroom,1200,19500000,Urban,7,16250
5th Phase JP Nagar,2 BHK,1207,6300000,Urban,2,5219.55261
Kalena Agrahara,3 BHK,1765,12500000,Urban,3,7082.152975
Electronic City,2 BHK,1130,3264000,Urban,2,2888.495575
Devanahalli Road,3 BHK,1532,9200000,Urban,3,6005.221932
Ejipura,3 BHK,1650,11000000,Urban,3,6666.666667
Bhoganhalli,2 BHK,804.1,6909000,Urban,2,8592.214899
Himagiri Meadows,2 BHK,869,3600000,Rural,2,4142.69275
Adarsh Nagar,2 BHK,1270,5000000,Urban,2,3937.007874
Bhoganhalli,3 BHK,1670,9900000,Urban,3,5928.143713
Whitefield,3 BHK,2010,9100000,Rural,3,4527.363184
Lakshminarayana Pura,2 BHK,1185,7500000,Rural,2,6329.113924
Yelahanka,3 BHK,1600,7500000,Rural,3,4687.5
Begur Road,2 BHK,1200,4400000,Urban,2,3666.666667
Basavanapura,3 BHK,1612,4674000,Rural,3,2899.503722
Ramakrishnappa Layout,2 BHK,1500,18500000,Urban,2,12333.33333
Murugeshpalya,6 Bedroom,1407,15000000,Rural,6,10660.98081
Govindaraja Nagar Ward,2 BHK,840,4500000,Urban,2,5357.142857
Tharabanahalli,3 Bedroom,4395,24000000,Urban,3,5460.750853
Ganga Nagar,2 BHK,845,5500000,Urban,2,6508.87574
Whitefield,4 Bedroom,5700,65000000,Rural,4,11403.50877
Varthur,2 BHK,1160,4400000,Rural,2,3793.103448
Bommanahalli,8 Bedroom,3000,14000000,Urban,8,4666.666667
Doddathoguru,2 BHK,1100,6200000,Rural,2,5636.363636
Gunjur,2 BHK,1140,4300000,Rural,2,3771.929825
Marathahalli,2 BHK,1220,5700000,Urban,2,4672.131148
Devarachikkanahalli,8 Bedroom,1350,8500000,Urban,8,6296.296296
Kanakpura Road,2 BHK,1005,3668000,Urban,2,3649.751244
Double Road,3 Bedroom,500,10000000,Urban,3,20000
Begur Road,2 BHK,1358,8058000,Urban,2,5933.726068
Hegde Nagar,3 BHK,1569,10100000,Urban,3,6437.22116
Haralur Road,2 BHK,1240,7000000,Urban,2,5645.16129
Hennur Road,3 BHK,2089,14000000,Urban,3,6701.771182
Kothannur,2 BHK,1206,4823000,Rural,2,3999.170813
Kalena Agrahara,2 BHK,1150,4000000,Rural,2,3478.26087
Cholanayakanahalli,3 BHK,2511,20500000,Urban,3,8164.078057
Kaval Byrasandra,2 BHK,460,2200000,Rural,2,4782.608696
ISRO Layout,6 Bedroom,4400,25000000,Urban,6,5681.818182
Kodanda Reddy Layout,3 BHK,1660,10500000,Urban,3,6325.301205
Hennur Road,4 Bedroom,3203.5,22450000,Urban,4,7007.960044
Yelahanka,2 BHK,1326,7800000,Rural,2,5882.352941
Garudachar Palya,3 BHK,1325,6080000,Rural,3,4588.679245
EPIP Zone,3 BHK,1499,10200000,Urban,3,6804.536358
Hegde Nagar,6 Bedroom,3000,21000000,Urban,6,7000
Kanakpura Road,3 BHK,1665,8800000,Urban,3,5285.285285
Dasanapura,2 BHK,708,3700000,Rural,2,5225.988701
Kasavanhalli,2 BHK,1060,5806000,Urban,2,5477.358491
Rajaji Nagar,6 Bedroom,710,16000000,Urban,6,22535.21127
Sanjay nagar,2 BHK,1000,7000000,Urban,2,7000
Electronic City,2 BHK,1000,2888000,Urban,2,2888
Mysore Highway,3 BHK,1450,7000000,Rural,3,4827.586207
ISRO Layout,4 Bedroom,1200,15500000,Urban,4,12916.66667
Thanisandra,2 BHK,1296,8000000,Rural,2,6172.839506
Domlur,3 BHK,1540,9000000,Rural,3,5844.155844
Kengeri,4 Bedroom,2894,24500000,Rural,4,8465.791292
Sarjapura - Attibele Road,3 BHK,1330,4800000,Urban,3,3609.022556
Devasthanagalu,2 BHK,1200,6500000,Rural,2,5416.666667
T Dasarahalli,3 Bedroom,1200,9000000,Urban,3,7500
Yeshwanthpur,3 BHK,2502,13800000,Urban,3,5515.58753
Chandapura,2 BHK,650,1700000,Rural,2,2615.384615
Kothanur,3 Bedroom,2400,15000000,Rural,3,6250
Green View Layout,2 BHK,1007,4300000,Urban,2,4270.109235
Shantiniketan Layout,2 BHK,1200,5000000,Urban,2,4166.666667
Peenya,2 BHK,966,4990000,Rural,2,5165.63147
Nagarbhavi,3 BHK,1630,9800000,Urban,3,6012.269939
Rajaji Nagar,3 BHK,1640,22900000,Urban,3,13963.41463
Jalahalli West,2 BHK,782,5568000,Urban,2,7120.204604
Devanahalli,2 BHK,1260,6678000,Urban,2,5300
Lakshmiamma Garden,3 BHK,1800,12000000,Rural,3,6666.666667
Byatarayanapura,3 BHK,1413,7500000,Rural,3,5307.855626
Whitefield,2 BHK,1116,5191000,Rural,2,4651.433692
Electronic City,3 BHK,1530,4590000,Urban,3,3000
Ramamurthy Nagar,4 Bedroom,3700,22500000,Urban,4,6081.081081
Sarjapur Road,3 Bedroom,2497,14000000,Urban,3,5606.728074
Kengeri,3 BHK,1540,6400000,Rural,3,4155.844156
Thanisandra,3 BHK,1436,7475000,Rural,3,5205.431755
Malleshwaram,2 BHK,1100,7500000,Urban,2,6818.181818
Double Road,3 Bedroom,500,10000000,Rural,3,20000
Begur Road,2 BHK,1358,8058000,Urban,2,5933.726068
Hegde Nagar,3 BHK,1569,10100000,Rural,3,6437.22116
Haralur Road,2 BHK,1240,7000000,Urban,2,5645.16129
Hennur Road,3 BHK,2089,14000000,Urban,3,6701.771182
Kothannur,2 BHK,1206,4823000,Rural,2,3999.170813
Kalena Agrahara,2 BHK,1150,4000000,Rural,2,3478.26087
Cholanayakanahalli,3 BHK,2511,20500000,Rural,3,8164.078057
Kaval Byrasandra,2 BHK,460,2200000,Rural,2,4782.608696
ISRO Layout,6 Bedroom,4400,25000000,Rural,6,5681.818182
Kodanda Reddy Layout,3 BHK,1660,10500000,Rural,3,6325.301205
Hennur Road,4 Bedroom,3203.5,22450000,Urban,4,7007.960044
Yelahanka,2 BHK,1326,7800000,Urban,2,5882.352941
Garudachar Palya,3 BHK,1325,6080000,Rural,3,4588.679245
EPIP Zone,3 BHK,1499,10200000,Rural,3,6804.536358
Hegde Nagar,6 Bedroom,3000,21000000,Rural,6,7000
Kanakpura Road,3 BHK,1665,8800000,Urban,3,5285.285285
Dasanapura,2 BHK,708,3700000,Rural,2,5225.988701
Kasavanhalli,2 BHK,1060,5806000,Rural,2,5477.358491
Rajaji Nagar,6 Bedroom,710,16000000,Urban,6,22535.21127
Sanjay nagar,2 BHK,1000,7000000,Rural,2,7000
Electronic City,2 BHK,1000,2888000,Urban,2,2888
 Mysore Highway,3 BHK,1450,7000000,Rural,3,4827.586207
ISRO Layout,4 Bedroom,1200,15500000,Rural,4,12916.66667
Thanisandra,2 BHK,1296,8000000,Rural,2,6172.839506
Domlur,3 BHK,1540,9000000,Urban,3,5844.155844
Kengeri,4 Bedroom,2894,24500000,Urban,4,8465.791292
Sarjapura - Attibele Road,3 BHK,1330,4800000,Urban,3,3609.022556
Devasthanagalu,2 BHK,1200,6500000,Rural,2,5416.666667
T Dasarahalli,3 Bedroom,1200,9000000,Rural,3,7500
Yeshwanthpur,3 BHK,2502,13800000,Rural,3,5515.58753
Chandapura,2 BHK,650,1700000,Rural,2,2615.384615
Kothanur,3 Bedroom,2400,15000000,Rural,3,6250
Green View Layout,2 BHK,1007,4300000,Rural,2,4270.109235
Shantiniketan Layout,2 BHK,1200,5000000,Rural,2,4166.666667
Peenya,2 BHK,966,4990000,Urban,2,5165.63147
Nagarbhavi,3 BHK,1630,9800000,Rural,3,6012.269939
Rajaji Nagar,3 BHK,1640,22900000,Urban,3,13963.41463
Jalahalli West,2 BHK,782,5568000,Rural,2,7120.204604
Devanahalli,2 BHK,1260,6678000,Rural,2,5300
Lakshmiamma Garden,3 BHK,1800,12000000,Rural,3,6666.666667
Byatarayanapura,3 BHK,1413,7500000,Rural,3,5307.855626
Whitefield,2 BHK,1116,5191000,Urban,2,4651.433692
Electronic City,3 BHK,1530,4590000,Urban,3,3000
Ramamurthy Nagar,4 Bedroom,3700,22500000,Rural,4,6081.081081
Sarjapur  Road,3 Bedroom,2497,14000000,Urban,3,5606.728074
Kengeri,3 BHK,1540,6400000,Urban,3,4155.844156
Thanisandra,3 BHK,1436,7475000,Rural,3,5205.431755
Malleshwaram,2 BHK,1100,7500000,Urban,2,6818.181818
Hennur Road,2 Bedroom,276,2300000,Urban,2,8333.333333
Thanisandra,3 BHK,1427,12000000,Rural,3,8409.250175
Akshaya Nagar,3 BHK,2061,20000000,Rural,3,9704.027171
Hebbal,4 BHK,5611.5,47700000,Urban,4,8500.400962
Shampura,4 BHK,2650,15000000,Rural,4,5660.377358
Devanahalli,3 BHK,1282,6852000,Rural,3,5344.773791
Kadugodi,2 BHK,1050,3400000,Rural,2,3238.095238
LB Shastri Nagar,3 BHK,1600,6500000,Rural,3,4062.5
Vajarahalli,2 BHK,945,5400000,Urban,2,5714.285714
Hormavu,2 BHK,1500,7800000,Rural,2,5200
Vishwapriya Layout,7 Bedroom,950,11500000,Rural,7,12105.26316
Peenya,3 BHK,1870,11000000,Urban,3,5882.352941
Sarjapur,3 Bedroom,1600,7500000,Urban,3,4687.5
Electronic City,2 BHK,880,1650000,Urban,2,1875
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,21000000,Rural,4,17500
Kudlu Gate,3 BHK,1535,8300000,Rural,3,5407.166124
Kanakpura Road,2 BHK,950,5700000,Urban,2,6000
Devanahalli,2 BHK,1360,6500000,Rural,2,4779.411765
Kengeri Satellite Town,2 BHK,890,3500000,Urban,2,3932.58427
Bommasandra Industrial Area,3 BHK,1280,5040000,Urban,3,3937.5
Chandra Layout,3 BHK,1260,8505000,Rural,3,6750
Hennur Road,8 Bedroom,5000,25000000,Urban,8,5000
Yelahanka,5 BHK,3050,21300000,Urban,5,6983.606557
Kasavanhalli,3 BHK,1563.05,10500000,Rural,3,6717.635392
ISRO Layout,2 BHK,1000,6000000,Rural,2,6000
Anandapura,2 BHK,1167,4376000,Rural,2,3749.785775
Vishveshwarya Layout,7 BHK,4000,22500000,Rural,7,5625
Kothanur,3 BHK,1828,11000000,Rural,3,6017.50547
Kengeri Satellite Town,2 BHK,890,3500000,Urban,2,3932.58427
Basavanapura,3 BHK,1612,4674000,Urban,3,2899.503722
Dinnur,6 Bedroom,1034,18500000,Rural,6,17891.68279
Mysore Road,3 BHK,1710,9131000,Rural,3,5339.766082
Kannamangala,2 BHK,957,5800000,Rural,2,6060.606061
 Devarachikkanahalli,3 BHK,1250,4400000,Rural,3,3520
Sanjeevini Nagar,3 BHK,2795,23500000,Rural,3,8407.871199
Hulimavu,2 BHK,1125,5000000,Rural,2,4444.444444
Electronic City Phase II,2 BHK,1020,3060000,Urban,2,3000
Kalena Agrahara,2 BHK,1200,5000000,Rural,2,4166.666667
Thanisandra,3 BHK,1735,13500000,Rural,3,7780.979827
Thanisandra,3 BHK,2050,14500000,Rural,3,7073.170732
Mahalakshmi Layout,4 Bedroom,3750,76000000,Rural,4,20266.66667
Yarandahalli,3 BHK,1350,4800000,Rural,3,3555.555556
Hosa Road,2 BHK,1063,3200000,Rural,2,3010.348071
Keshava Nagar,3 BHK,1904,15000000,Rural,3,7878.151261
Whitefield,4 Bedroom,4200,42000000,Urban,4,10000
RMV Extension,3 BHK,2000,17500000,Rural,3,8750
Sarjapur,2 BHK,1242.5,4349000,Urban,2,3500.201207
Tejaswini Nagar,3 BHK,1425,7500000,Rural,3,5263.157895
Electronic City,3 BHK,1500,6450000,Urban,3,4300
Electronic City,2 BHK,1060,6000000,Urban,2,5660.377358
Jai Bheema Nagar,3 BHK,1470,7000000,Rural,3,4761.904762
Kothnur Narayanapura,6 BHK,1300,9900000,Rural,6,7615.384615
Attibele,1 BHK,450,1100000,Urban,1,2444.444444
Electronic City,2 BHK,1152,6450000,Urban,2,5598.958333
Electronic City,3 BHK,1350,5600000,Urban,3,4148.148148
CV Raman Nagar,3 BHK,1550,6500000,Urban,3,4193.548387
CHIKKATIRUPATHI,3 Bedroom,1500,10000000,Rural,3,6666.666667
Kumaraswami Layout,5 Bedroom,600,8500000,Rural,5,14166.66667
Nagavara,1 Bedroom,400,1400000,Urban,1,3500
Malleshwaram,1 BHK,705,6700000,Urban,1,9503.546099
Electronic City,2 BHK,770,3600000,Urban,2,4675.324675
Hulimavu,2 BHK,1242,5100000,Rural,2,4106.280193
Hebbal Kempapura,3 BHK,1700,15500000,Urban,3,9117.647059
Thanisandra,3 BHK,2144,14500000,Rural,3,6763.059701
Vijayanagar,3 BHK,1704,11000000,Urban,3,6455.399061
Electronic City,2 BHK,1070,5200000,Urban,2,4859.813084
8th block Koramangala,3 Bedroom,1846,30000000,Urban,3,16251.35428
Jakkuru Layout,2 BHK,1340,5570000,Rural,2,4156.716418
Electronic City,2 BHK,1025,4600000,Urban,2,4487.804878
KR Puram,2 BHK,1277.5,5680000,Urban,2,4446.183953
Marathahalli,2 BHK,1200,5200000,Urban,2,4333.333333
Kanakpura Road,4 Bedroom,2250,11000000,Urban,4,4888.888889
Pattandur Agrahara,3 BHK,1550,8000000,Rural,3,5161.290323
Bellandur,4 Bedroom,1200,32500000,Urban,4,27083.33333
